,artist,track,position,date
30308,"A$AP Rocky F/Kendrick Lamar, Joey Bada$$, YelaWolf, Danny Brown, Action Bronson & Big K.R.",1Train,25,2013-02-02
30323,Tyga Featuring Rick Ross,Dope,15,2013-02-09
30329,Kid Ink Featuring Meek Mill & Wale,Bad Ass,21,2013-02-09
30333,Pitbull Featuring Christina Aguilera,Feel This Moment,25,2013-02-09
30356,Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us,23,2013-02-16
30357,Macklemore & Ryan Lewis Featuring Mary Lambert,Same Love,24,2013-02-16
30374,Drake,Started From The Bottom,16,2013-02-23
30376,Young Jeezy Featuring 2 Chainz,R.I.P.,18,2013-02-23
30402,Ace Hood Featuring Future & Rick Ross,Bugatti,19,2013-03-02
30406,J. Cole Featuring Miguel,Power Trip,23,2013-03-02
30408,Joe Budden Featuring Lil Wayne & Tank,She Don't Put It Down,25,2013-03-02
30425,Wale Featuring Tiara Thomas,Bad,17,2013-03-09
30481,Future Featuring Lil Wayne,Karate Chop (Remix),23,2013-03-23
30504,"DJ Drama Featuring Wale, Tyga & Roscoe Dash",So Many Girls,21,2013-03-30
30524,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",Molly,16,2013-04-06
30528,Lil Wayne Featuring 2 Chainz,Rich As F**k,20,2013-04-06
30530,J. Dash,Wop,22,2013-04-06
30578,Nicki Minaj Featuring Lil Wayne,High School,20,2013-04-20
30588,PSY,Gentleman,5,2013-04-27
30607,Fabolous Featuring Chris Brown,Ready,24,2013-04-27
30608,Rocko Featuring Future & Rick Ross,U.O.E.N.O.,25,2013-04-27
30646,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",No New Friends,13,2013-05-11
30654,"Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens",Memories Back Then,21,2013-05-11
30706,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",Tapout,23,2013-05-25
30733,Drop City Yacht Club Featuring Jeremih,Crickets,25,2013-06-01
30748,2 Chainz & Wiz Khalifa,We Own It (Fast & Furious),15,2013-06-08
30750,B.o.B Featuring 2 Chainz,HeadBand,17,2013-06-08
30756,T.I. Featuring Lil Wayne,Wit Me,23,2013-06-08
30758,A$AP Ferg,Work,25,2013-06-08
30807,French Montana,Ain't Worried About Nothin,24,2013-06-22
30819,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",No New Friends (SFTB Remix),11,2013-06-29
30829,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",Bubble Butt,21,2013-06-29
30846,Kanye West,New Slaves,13,2013-07-06
30848,Kanye West,Black Skinhead,15,2013-07-06
30852,J. Cole Featuring TLC,Crooked Smile,19,2013-07-06
30855,Kanye West,Blood On The Leaves,22,2013-07-06
30858,Wale Featuring Sam Dew,LoveHate Thing,25,2013-07-06
30882,Big Sean Featuring Lil Wayne & Jhene Aiko,Beware,24,2013-07-13
30883,Juicy J Featuring Wale And Trey Songz,Bounce It,25,2013-07-13
30899,2 Chainz Featuring Pharrell,Feds Watching,16,2013-07-20
30910,Jay Z Featuring Justin Timberlake,Holy Grail,2,2013-07-27
30916,Jay Z,Tom Ford,8,2013-07-27
30926,Jay Z Featuring Rick Ross,F*ckwithmeyouknowigotit,18,2013-07-27
30929,Jay Z Featuring Beyonce,Part II (On The Run),21,2013-07-27
30930,Jay Z Featuring Frank Ocean,Oceans,22,2013-07-27
30932,The FiNATTiCZ,Don't Drop That Thun Thun!,24,2013-07-27
30933,Jay Z,Picasso Baby,25,2013-07-27
30951,Sage The Gemini,Red Nose,18,2013-08-03
30969,Sage The Gemini Featuring IamSu,Gas Pedal,11,2013-08-10
31006,Rich Homie Quan,Type Of Way,23,2013-08-17
31058,Yo Gotti Featuring Jeezy & YG,Act Right,25,2013-08-31
31081,Ludacris,Helluva Night,23,2013-09-07
31084,Eminem,Berzerk,1,2013-09-14
31108,Migos,Versace,25,2013-09-14
31133,Flo Rida Featuring Pitbull,Can't Believe It,25,2013-09-21
31147,"Mike Will Made It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23,14,2013-09-28
31151,Future,Honest,18,2013-09-28
31154,Drake,Wu-Tang Forever,21,2013-09-28
31156,2 Chainz Featuring Drake & Lil Wayne,I Do It,23,2013-09-28
31176,Kid Ink Featuring Chris Brown,Show Me,18,2013-10-05
31178,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,White Walls,20,2013-10-05
31181,Young Dro,FDB,23,2013-10-05
31187,Drake Featuring 2 Chainz & Big Sean,All Me,4,2013-10-12
31192,Drake,The Language,9,2013-10-12
31195,Drake,Furthest Thing,12,2013-10-12
31199,Drake,Too Much,16,2013-10-12
31200,Drake Featuring Jay Z,Pound Cake / Paris Morton Music 2,17,2013-10-12
31201,Drake,From Time,18,2013-10-12
31206,Drake,Tuscan Leather,23,2013-10-12
31207,Drake,Come Thru,24,2013-10-12
31212,Kanye West Featuring Cam'ron & Consequence,Gone,4,2013-10-19
31224,YG X Jeezy X Rich Homie Quan,My Hitta,16,2013-10-19
31237,Eminem,Survival,4,2013-10-26
31244,Pitbull Featuring Ke$ha,Timber,11,2013-10-26
31259,Eminem,Rap God,1,2013-11-02
31279,Travie McCoy Featuring Jason Mraz,Rough Water,21,2013-11-02
31281,Lupe Fiasco Featuring Ed Sheeran,Old School Love,23,2013-11-02
31304,ScHoolboy Q Featuring Kendrick Lamar,Collard Greens,21,2013-11-09
31305,"DJ Khaled Featuring Nicki Minaj, Rick Ross & Future",I Wanna Be With You,22,2013-11-09
31309,Eminem Featuring Rihanna,The Monster,1,2013-11-16
31355,Eminem Featuring Sia,Beautiful Pain,22,2013-11-23
31356,Eminem Featuring Kendrick Lamar,Love Game,23,2013-11-23
31400,Kanye West,Bound 2,17,2013-12-07
31455,Childish Gambino,I. Crawl,22,2013-12-21
31458,Future Featuring Miley Cyrus & Mr Hudson,Real And True,25,2013-12-21
31480,Childish Gambino,V. 3005,22,2013-12-28
31482,Childish Gambino,II. Worldstar,24,2013-12-28
31483,J. Cole Featuring Amber Coffman & The Cults,She Knows,25,2013-12-28
31502,Drake,Worst Behavior,19,2014-01-04
31504,DJ Snake & Lil Jon,Turn Down For What,21,2014-01-04
31507,Flo Rida,How I Feel,24,2014-01-04
31533,A$AP Ferg Featuring A$AP Rocky,Shabba,25,2014-01-11
31581,Future,Shhh...,23,2014-01-25
31608,Rick Ross Featuring JAY Z,The Devil Is A Lie,25,2014-02-01
31618,ScHoolboy Q,Man Of The Year,10,2014-02-08
31624,ScHoolboy Q,Break The Bank,16,2014-02-08
31631,Que,OG Bobby Johnson,23,2014-02-08
31658,KCamp Featuring Kwony Cash,Money Baby,25,2014-02-15
31674,Young Thug,Stoner,16,2014-02-22
31683,"Ludacris Featuring Wiz Khalifa , Jeremih & Cashmere Cat",Party Girls,25,2014-02-22
31694,Buck 22 Featuring Billy Ray Cyrus,Achy Breaky 2,11,2014-03-01
