artist,track,position,date
Grandmaster Slice & Izzy Chill,Electric Slide,20,1990-01-27
Biz Markie,Just A Friend,21,1990-01-27
MC Lyte,Cha Cha Cha,22,1990-01-27
Chubb Rock,Stop That Train,23,1990-01-27
Donald-D,F.B.I.,24,1990-01-27
3rd Bass,Steppin' Into The A.M.,25,1990-01-27
Salt-N-Pepa,Expression,1,1990-02-03
De La Soul,Buddy,2,1990-02-03
Redhead Kingpin & The F.B.I.,Pump It Hottie,3,1990-02-03
Public Enemy,Welcome To The Terrordome,4,1990-02-03
Sir Mix-A-Lot,Beepers,5,1990-02-03
Rob Base,Turn It Out,6,1990-02-03
Wreckx-N-Effect,Juicy,7,1990-02-03
Queen Latifah Featuring Monie Love,Ladies First,8,1990-02-03
Big Daddy Kane,I Get The Job Done,9,1990-02-03
The Young And The Restless,Poison Ivy,10,1990-02-03
Young M.C.,Principal's Office,11,1990-02-03
Serious-Lee-Fine,Nothing Can Stop Us,12,1990-02-03
The 2 Live Crew,Me So Horny,13,1990-02-03
The D.O.C.,The D.O.C. & The Doctor,14,1990-02-03
3rd Bass,The Gas Face,15,1990-02-03
Wreckx-N-Effect,New Jack Swing,16,1990-02-03
Steady B,Going Steady,17,1990-02-03
Digital Underground,The Humpty Dance,18,1990-02-03
Grandmaster Slice & Izzy Chill,Electric Slide,19,1990-02-03
Biz Markie,Just A Friend,20,1990-02-03
MC Lyte,Cha Cha Cha,21,1990-02-03
Mr. Lee,Get Busy,22,1990-02-03
Rodney O & Joe Cooley,Say It Loud,23,1990-02-03
T-Ski,Pump That Beat,24,1990-02-03
Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',25,1990-02-03
Salt-N-Pepa,Expression,1,1990-02-10
De La Soul,Buddy,2,1990-02-10
Redhead Kingpin & The F.B.I.,Pump It Hottie,3,1990-02-10
Public Enemy,Welcome To The Terrordome,4,1990-02-10
Rob Base,Turn It Out,5,1990-02-10
Wreckx-N-Effect,Juicy,6,1990-02-10
Sir Mix-A-Lot,Beepers,7,1990-02-10
Queen Latifah Featuring Monie Love,Ladies First,8,1990-02-10
Serious-Lee-Fine,Nothing Can Stop Us,9,1990-02-10
Big Daddy Kane,I Get The Job Done,10,1990-02-10
The Young And The Restless,Poison Ivy,11,1990-02-10
3rd Bass,The Gas Face,12,1990-02-10
Digital Underground,The Humpty Dance,13,1990-02-10
Heavy D & The Boyz,"Gyrlz, They Love Me",14,1990-02-10
The 2 Live Crew,Me So Horny,15,1990-02-10
Steady B,Going Steady,16,1990-02-10
Grandmaster Slice & Izzy Chill,Electric Slide,17,1990-02-10
The D.O.C.,The D.O.C. & The Doctor,18,1990-02-10
Wreckx-N-Effect,New Jack Swing,19,1990-02-10
Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',20,1990-02-10
Young M.C.,Principal's Office,21,1990-02-10
T-Ski,Pump That Beat,22,1990-02-10
Biz Markie,Just A Friend,23,1990-02-10
Rodney O & Joe Cooley,Say It Loud,24,1990-02-10
Mr. Lee,Get Busy,25,1990-02-10
Salt-N-Pepa,Expression,1,1990-02-17
De La Soul,Buddy,2,1990-02-17
Redhead Kingpin & The F.B.I.,Pump It Hottie,3,1990-02-17
Public Enemy,Welcome To The Terrordome,4,1990-02-17
Queen Latifah Featuring Monie Love,Ladies First,5,1990-02-17
Wreckx-N-Effect,Juicy,6,1990-02-17
Digital Underground,The Humpty Dance,7,1990-02-17
3rd Bass,The Gas Face,8,1990-02-17
The Young And The Restless,Poison Ivy,9,1990-02-17
Sir Mix-A-Lot,Beepers,10,1990-02-17
Rob Base,Turn It Out,11,1990-02-17
Serious-Lee-Fine,Nothing Can Stop Us,12,1990-02-17
The 2 Live Crew,C'mon Babe,13,1990-02-17
Heavy D & The Boyz,"Gyrlz, They Love Me",14,1990-02-17
Big Daddy Kane,I Get The Job Done,15,1990-02-17
Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',16,1990-02-17
Rodney O & Joe Cooley,Say It Loud,17,1990-02-17
T-Ski,Pump That Beat,18,1990-02-17
Def Dames,976-Boom,19,1990-02-17
Kwame,Sweet Thing,20,1990-02-17
Grandmaster Slice & Izzy Chill,Electric Slide,21,1990-02-17
Gang Starr,Positivity,22,1990-02-17
Mr. Lee,Get Busy,23,1990-02-17
Young M.C.,Principal's Office,24,1990-02-17
Low Profile,Pay Ya Dues,25,1990-02-17
Salt-N-Pepa,Expression,1,1990-02-24
Redhead Kingpin & The F.B.I.,Pump It Hottie,2,1990-02-24
De La Soul,Buddy,3,1990-02-24
Public Enemy,Welcome To The Terrordome,4,1990-02-24
Digital Underground,The Humpty Dance,5,1990-02-24
Queen Latifah Featuring Monie Love,Ladies First,6,1990-02-24
3rd Bass,The Gas Face,7,1990-02-24
The Young And The Restless,Poison Ivy,8,1990-02-24
Heavy D & The Boyz,"Gyrlz, They Love Me",9,1990-02-24
The 2 Live Crew,C'mon Babe,10,1990-02-24
Rodney O & Joe Cooley,Say It Loud,11,1990-02-24
Big Daddy Kane,I Get The Job Done,12,1990-02-24
Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',13,1990-02-24
Rob Base,Turn It Out,14,1990-02-24
Serious-Lee-Fine,Nothing Can Stop Us,15,1990-02-24
Wreckx-N-Effect,Juicy,16,1990-02-24
T-Ski,Pump That Beat,17,1990-02-24
Sir Mix-A-Lot,Beepers,18,1990-02-24
Gang Starr,Positivity,19,1990-02-24
Kwame,Sweet Thing,20,1990-02-24
LL Cool J,Jingling Baby,21,1990-02-24
Mr. Lee,Get Busy,22,1990-02-24
Def Dames,976-Boom,23,1990-02-24
Biz Markie,Just A Friend,24,1990-02-24
Maestro Fresh-Wes,Let Your Back Bone Slide,25,1990-02-24
Salt-N-Pepa,Expression,1,1990-03-03
De La Soul,Buddy,2,1990-03-03
Public Enemy,Welcome To The Terrordome,3,1990-03-03
Redhead Kingpin & The F.B.I.,Pump It Hottie,4,1990-03-03
Digital Underground,The Humpty Dance,5,1990-03-03
Queen Latifah Featuring Monie Love,Ladies First,6,1990-03-03
3rd Bass,The Gas Face,7,1990-03-03
The 2 Live Crew,C'mon Babe,8,1990-03-03
Heavy D & The Boyz,"Gyrlz, They Love Me",9,1990-03-03
The Young And The Restless,Poison Ivy,10,1990-03-03
Rodney O & Joe Cooley,Say It Loud,11,1990-03-03
Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',12,1990-03-03
T-Ski,Pump That Beat,13,1990-03-03
Wreckx-N-Effect,Juicy,14,1990-03-03
Mr. Lee,Get Busy,15,1990-03-03
Biz Markie,Just A Friend,16,1990-03-03
Low Profile,Pay Ya Dues,17,1990-03-03
LL Cool J,Jingling Baby,18,1990-03-03
Gang Starr,Positivity,19,1990-03-03
Kwame,Sweet Thing,20,1990-03-03
Rob Base,Turn It Out,21,1990-03-03
Bobby Jimmy & The Critters,Somebody Farted,22,1990-03-03
Big Daddy Kane,I Get The Job Done,23,1990-03-03
Def Dames,976-Boom,24,1990-03-03
Sir Mix-A-Lot,Beepers,25,1990-03-03
Salt-N-Pepa,Expression,1,1990-03-10
De La Soul,Buddy,2,1990-03-10
Public Enemy,Welcome To The Terrordome,3,1990-03-10
Digital Underground,The Humpty Dance,4,1990-03-10
3rd Bass,The Gas Face,5,1990-03-10
Heavy D & The Boyz,"Gyrlz, They Love Me",6,1990-03-10
Redhead Kingpin & The F.B.I.,Pump It Hottie,7,1990-03-10
The 2 Live Crew,C'mon Babe,8,1990-03-10
Rodney O & Joe Cooley,Say It Loud,9,1990-03-10
Queen Latifah Featuring Monie Love,Ladies First,10,1990-03-10
The Young And The Restless,Poison Ivy,11,1990-03-10
Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',12,1990-03-10
LL Cool J,Jingling Baby,13,1990-03-10
Low Profile,Pay Ya Dues,14,1990-03-10
Bobby Jimmy & The Critters,Somebody Farted,15,1990-03-10
Mr. Lee,Get Busy,16,1990-03-10
Biz Markie,Just A Friend,17,1990-03-10
Maestro Fresh-Wes,Let Your Back Bone Slide,18,1990-03-10
Gang Starr,Positivity,19,1990-03-10
Big Daddy Kane,I Get The Job Done,20,1990-03-10
Kwame,Sweet Thing,21,1990-03-10
Vicious Beat Posse,Legalized Dope,22,1990-03-10
Above The Law,Murder Rap,23,1990-03-10
M.C. Hammer,Help The Children,24,1990-03-10
T-Ski,Pump That Beat,25,1990-03-10
Digital Underground,The Humpty Dance,1,1990-03-17
Salt-N-Pepa,Expression,2,1990-03-17
De La Soul,Buddy,3,1990-03-17
Public Enemy,Welcome To The Terrordome,4,1990-03-17
3rd Bass,The Gas Face,5,1990-03-17
Heavy D & The Boyz,"Gyrlz, They Love Me",6,1990-03-17
The 2 Live Crew,C'mon Babe,7,1990-03-17
Rodney O & Joe Cooley,Say It Loud,8,1990-03-17
Queen Latifah Featuring Monie Love,Ladies First,9,1990-03-17
Divine Styler Feat. The Scheme Team,Ain't Sayin' Nothin',10,1990-03-17
The Young And The Restless,Poison Ivy,11,1990-03-17
Above The Law,Murder Rap,12,1990-03-17
LL Cool J,Jingling Baby,13,1990-03-17
Low Profile,Pay Ya Dues,14,1990-03-17
Bobby Jimmy & The Critters,Somebody Farted,15,1990-03-17
Redhead Kingpin & The F.B.I.,Pump It Hottie,16,1990-03-17
MC Lyte & DJ K Rock,"Stop, Look, Listen",17,1990-03-17
M.C. Hammer,Help The Children,18,1990-03-17
Gang Starr,Positivity,19,1990-03-17
Maestro Fresh-Wes,Let Your Back Bone Slide,20,1990-03-17
Mr. Lee,Get Busy,21,1990-03-17
Biz Markie,Just A Friend,22,1990-03-17
Vicious Beat Posse,Legalized Dope,23,1990-03-17
Kid 'N Play,Funhouse,24,1990-03-17
T-Ski,Pump That Beat,25,1990-03-17
Digital Underground,The Humpty Dance,1,1990-03-24
Salt-N-Pepa,Expression,2,1990-03-24
De La Soul,Buddy,3,1990-03-24
Heavy D & The Boyz,"Gyrlz, They Love Me",4,1990-03-24
3rd Bass,The Gas Face,5,1990-03-24
Rodney O & Joe Cooley,Say It Loud,6,1990-03-24
Public Enemy,Welcome To The Terrordome,7,1990-03-24
