,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics,genius_artist
342,862,8490,Geto Boys Featuring Flaj,"The World Is A Ghetto (From ""Original Gangstas"")",16,1996-05-04,NaN,Alicia Cherry
343,867,8521,Poppa Doo,Mother's Prayer,22,1996-05-11,NaN,Lashun Pace
344,868,8535,Crucial Conflict,Hay,11,1996-05-18,NaN,Hayce Lemsi
345,870,8592,Coolio,"It's All The Way Live (Now) (From ""Eddie"")",18,1996-06-01,NaN,Stephen Colbert
349,880,8673,Domino,So Fly,24,1996-06-22,NaN,Gucci Mane
350,882,8693,De La Soul,The Bizness/Stakes Is High,19,1996-06-29,NaN,John Stuart Mill
351,883,8697,Ruffa Featuring Tasha,Don't You Worry,23,1996-06-29,NaN,We Are The In Crowd
354,888,8774,The Roots,Clones/Section,25,1996-07-20,NaN,Wrekonize
355,890,8793,Rappin' 4-Tay,A Lil' Some'em Some'em,19,1996-07-27,NaN,Sam Hamm
356,891,8808,A+,All I See,9,1996-08-03,NaN,AP aka AdotPdot
358,894,8856,RZA Feat. Method Man & Cappadonna,"Wu-Wear: The Garment Renaissance (From ""High School High"")",7,1996-08-17,NaN,NaN
360,898,8885,Too Short Feat. Parliament Funkadelic,Gettin' It,11,1996-08-24,NaN,Playa Fly
361,901,8937,Southsyde B.O.I.Z.,"Get Ready, Here It Comes (It's The Choo-Choo)",13,1996-09-07,NaN,Quad City DJ's
362,903,8974,Nonchalant,Until The Day,25,1996-09-14,NaN,El Trono De Mexico
363,904,8984,Warren G Featuring Adina Howard,"What's Love Got To Do With It (From ""Supercop"")",10,1996-09-21,NaN,Friedrich Nietzsche
364,906,8998,Chuck D,No,24,1996-09-21,NaN,21 Savage & Metro Boomin
365,907,9014,Originoo Gunn Clappaz,No Fear,15,1996-09-28,NaN,Sandy Placido
366,909,9021,DJ Polo Featuring Ron Jeremy,Freak Of The Week,22,1996-09-28,NaN,Marvelous 3
368,917,9140,Heltah Skeltah,Therapy,16,1996-11-02,NaN,Group Therapy
369,920,9173,Bush Babees Featuring Mos Def,The Love Song,24,1996-11-09,NaN,Dormtainment
370,921,9185,Killafornia Organization,Throw It Up,11,1996-11-16,NaN,SoMo
372,928,9243,Xzibit,The Foundation,19,1996-11-30,NaN,Thievery Corporation
373,931,9268,D.J. Trans,Suki Suki Now,19,1996-12-07,NaN,Webb Wilder
374,932,9281,Mack 10 & Tha Dogg Pound,"Nothin' But The Cavi Hit (From ""Rhyme & Reason"")",7,1996-12-14,NaN,Richard F. Burton
375,934,9299,LL Cool J,"Ain't Nobody (From ""Beavis And Butt-Head Do America"")",25,1996-12-14,NaN,NaN
377,937,9323,Al Tariq (Kool Fash),Everybody's Talkin',24,1996-12-21,NaN,Leonard Nimoy
378,939,9335,Redman Featuring K-Solo,That's How It Is (It's Like That),11,1996-12-28,NaN,Kokane
380,941,9358,Lost Boyz,Get Up,9,1997-01-04,NaN,Nate Dogg
