,Unnamed: 0,Unnamed: 0.1,artist,track,position,date,lyrics
243,598,5367,Jazzy Jeff & The Fresh Prince,I'm Looking For The One (To Be With Me),18,1993-12-11,
244,603,5448,Shabba Ranks,Family Affair,24,1994-01-01,
245,605,5526,Salt-N-Pepa Featuring En Vogue,Whatta Man,2,1994-01-29,
246,607,5571,Raheem The Dream,Short Shorts,22,1994-02-05,
247,608,5572,K7,Zunga Zeng,23,1994-02-05,
248,609,5579,M.C. Hammer,It's All Good,5,1994-02-12,
249,615,5642,DFC (Duet With MC Eiht),Caps Get Peeled,18,1994-02-26,
250,616,5646,Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),22,1994-02-26,
251,621,5696,Masta Ace Incorporated,Born To Roll,22,1994-03-12,
252,622,5697,MeShell Ndegeocello,If That's Your Boyfriend,23,1994-03-12,
253,624,5711,The Conscious Daughters,Something To Ride To,12,1994-03-19,
254,627,5721,Sudden Change,Comin' On Strong,22,1994-03-19,
255,631,5798,2Pac Duet With Mopreme,Papa'z Song,24,1994-04-09,
256,636,5888,Warren G & Nate Dogg,Regulate,14,1994-05-07,
257,641,5970,Tag Team,"Here It Is, Bam!",21,1994-05-28,
258,648,6073,Volume 10,Pump,24,1994-06-25,
259,657,6137,Public Enemy,Give It Up,13,1994-07-16,
260,659,6184,Ice Cube Featuring George Clinton,Bop Gun (One Nation),10,1994-07-30,
261,664,6244,Patra Featuring Yo-Yo,Romantic Call,20,1994-08-13,
262,665,6246,Terror Fabulous Featuring Nadine Sutherland,Action,22,1994-08-13,
263,669,6299,"Sam ""The Beast""",Gucci Dance Live,25,1994-08-27,
264,671,6347,Mic Geronimo,It's Real,23,1994-09-10,
265,675,6373,Ill Al Skratch Featuring Brian McKnight,I'll Take Her,24,1994-09-17,
266,681,6448,Dis `N' Dat,Party,24,1994-10-08,
267,690,6532,Heavy D & The Boyz,Black Coffee,8,1994-11-05,
268,697,6593,Michael Wall Love Foundation,Love Song,19,1994-11-19,
269,701,6623,Bossman And The Blakjak,Much Love,24,1994-11-26,
270,707,6699,Paris,Guerrilla Funk,25,1994-12-17,
271,709,6730,Craig Mack,Get Down,6,1994-12-31,
272,711,6749,D.J. Trans,Ride Out,25,1994-12-31,
273,714,6795,Funkmaster Flex & The Ghetto Celebs,Nuttin But Flavor,21,1995-01-14,
274,715,6798,Vicious,Nika,24,1995-01-14,
275,718,6814,Way 2 Real,Tha Butterfly,15,1995-01-21,
276,719,6823,95 South,Rodeo,24,1995-01-21,
277,720,6836,Capleton,Tour,12,1995-01-28,
278,722,6871,Rottin Razkals,Oh Yeah!,22,1995-02-04,
279,724,6898,Raekwon Feat. Ghost Face Killer,Heaven & Hell,24,1995-02-11,
280,725,6922,Shaquille O'Neal Feat. Prince Rakeem The RZA & Method Man,No Hook,23,1995-02-18,
281,726,6928,E-40 (Featuring Leviti),1-Luv,4,1995-02-25,
282,727,6929,Bone Thugs-N-Harmony Featuring Eazy-E,Foe The Love Of $,5,1995-02-25,
283,733,6984,Scarface Feat. Ice Cube,People Don't Believe,10,1995-03-11,
284,734,6996,Slick Rick Featuring Doug E. Fresh,Sittin' In My Car,22,1995-03-11,
285,737,7043,Rappin' 4-Tay Feat. The Spinners,I'll Be Around,19,1995-03-25,
286,739,7071,DJ Smurf And P.M.H.I.,Ooh Lawd (Party People),22,1995-04-01,
287,741,7097,"Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock",Freak Me Baby,23,1995-04-08,
288,742,7121,H.M.H.,Boo-Tee Bounce,22,1995-04-15,
289,743,7124,Dana Dane,Rollin' Wit Dane,25,1995-04-15,
290,745,7148,Masta Ace Incorporated,The I.N.C. Ride,24,1995-04-22,
291,746,7171,Common Sense,Resurrection,22,1995-04-29,
292,749,7200,Method Man Featuring Mary J. Blige,I'll Be There For You/You're All I Need To Get By,1,1995-05-13,
293,751,7219,Scarface,Among The Walking Dead,20,1995-05-13,
294,753,7242,Sam Sneed Featuring Dr. Dre,U Better Recognize,18,1995-05-20,
295,762,7322,Mentally Disturbed,Lollipop,23,1995-06-10,
296,763,7340,Various Artists,The Points,16,1995-06-17,
297,767,7364,E-40 (Featuring Suga T),Sprinkle Me,15,1995-06-24,
298,769,7397,Buju Banton,Champion,23,1995-07-01,
299,772,7451,Shaggy,Boombastic/In The Summertime,2,1995-07-22,
300,773,7454,Chef Raekwon,Glaciers Of Ice/Criminology,5,1995-07-22,
301,776,7517,Onyx,"Live!!! (From ""The Show"")",18,1995-08-05,
302,778,7524,Playa Poncho Featuring L.A. Sno,"Whatz Up, Whatz Up",25,1995-08-05,
303,779,7543,The D&D Project Featuring D&D All-Stars,"1,2 Pass It",19,1995-08-12,
304,780,7555,Coolio Featuring L.V.,"Gangsta's Paradise (From ""Dangerous Minds"")",6,1995-08-19,
305,783,7591,M.C. Hammer Featuring VMF,Sultry Funk,17,1995-08-26,
306,785,7601,Redman/Method Man,"How High (From ""The Show"")",2,1995-09-02,
307,788,7647,Lil' Shawn,Dom Perignon,23,1995-09-09,
308,789,7648,Masta Ace Incorporated,Sittin' On Chrome,24,1995-09-09,
309,790,7649,Doug E. Fresh,Where's Da Party At?,25,1995-09-09,
310,791,7663,Crooklyn Dodgers '95,"Return Of The Crooklyn Dodgers (From ""Clockers"")",14,1995-09-16,
311,792,7674,Twinz,Round & Round,25,1995-09-16,
312,802,7765,Blahzay Blahzay,Danger,16,1995-10-14,
313,803,7774,The Pharcyde,Drop/Runnin',25,1995-10-14,
314,806,7803,Genius/GZA,Liquid Swords,4,1995-10-28,
315,808,7822,Frost,East Side Rendezvous,23,1995-10-28,
316,810,7853,The Click,Hurricane,4,1995-11-11,
317,811,7854,Method Man,"The Riddler (From ""Batman Forever"")",5,1995-11-11,
318,814,7913,Luniz Featuring Teddy,Playa Hata,14,1995-11-25,
319,815,7917,Spice 1 Featuring MC Eiht,1990-Sick (Kill em' All),18,1995-11-25,
320,817,7946,Junior M.A.F.I.A. Featuring Aaliyah,I Need You Tonight,22,1995-12-02,
321,821,7988,Genius/GZA Featuring Inspektah Deck,Cold World,14,1995-12-16,
322,822,7996,L.B.C. Crew Feat. Tray D & South Sentrell,Beware Of My Crew,22,1995-12-16,
323,825,8024,Heltah Skeltah And O.G.C. As The Fab 5,Leflaur Leflah Eshkushka,25,1995-12-23,
324,827,8045,M.C. Hammer Feat. Angel Burgess & The San Jose Community Choir,Goin' Up Yonder,21,1995-12-30,
325,828,8059,Tha Dogg Pound Featuring Michel'le,Let's Play House,10,1996-01-06,
326,831,8178,Junior M.A.F.I.A. Featuring The Notorious B.I.G.,Get Money,4,1996-02-10,
327,832,8192,Erick Sermon,Welcome,18,1996-02-10,
328,834,8204,Das EFX (Featuring Mobb Deep),Microphone Master,5,1996-02-17,
329,841,8272,Rappin' 4-Tay,Ain't No Playa,23,1996-03-02,
330,843,8281,Busta Rhymes,Woo-Hah!! Got You All In Check/Everything Remains Raw,7,1996-03-09,
331,845,8295,Kilo,Nasty Dancer/White Horse,21,1996-03-09,
332,847,8305,MC Lyte Featuring Xscape,"Keep On, Keepin' On (From ""Sunset Park"")",6,1996-03-16,
333,848,8307,Fat Joe,Envy/Firewater,8,1996-03-16,
334,850,8324,The Conscious Daughters,Gamers,25,1996-03-16,
335,851,8343,Jay-Z Featuring Foxxy Brown,Ain't No Nigga/Dead Presidents,19,1996-03-23,
336,852,8355,Lost Boyz,"Renee (From ""Don't Be A Menace..."")",6,1996-03-30,
337,853,8368,Genius/GZA Featuring Method Man,Shadowboxin',19,1996-03-30,
338,856,8395,Smoothe Da Hustler,Hustler's Theme,21,1996-04-06,
339,857,8397,Shaggy Featuring Grand Puba,Why You Treat Me So Bad,23,1996-04-06,
340,858,8435,Luke,"Scarred (From ""Eddie"")",11,1996-04-20,
341,861,8470,69 Boyz Featuring Quad City DJ's,"Hoop In Yo Face (From ""Sunset Park"")",21,1996-04-27,
342,862,8490,Geto Boys Featuring Flaj,"The World Is A Ghetto (From ""Original Gangstas"")",16,1996-05-04,
343,867,8521,Poppa Doo,Mother's Prayer,22,1996-05-11,
344,868,8535,Crucial Conflict,Hay,11,1996-05-18,
345,870,8592,Coolio,"It's All The Way Live (Now) (From ""Eddie"")",18,1996-06-01,
