6219,Black Moon
6233,Digable Planets
6244,Dis `N' Dat
6263,Da Brat
6269,Above The Law
6275,Keith Murray
6285,Black Sheep
6287,Spice 1
6306,Brand Nubian
6315,Lords Of The Underground
6316,OutKast
6328,Heavy D & The Boyz
6351,Method Man
6368,DFC
6369,Nas
6376,Scarface
6382,Redman
6388,Shaquille O'Neal
6389,Michael Wall Love Foundation
6393,Dis `N' Dat
6408,Slick Rick
6418,69 Boyz
6438,Warren G
6440,69 Boyz
6442,Super Cat
6481,Dru Down
6491,Dana Dane
6492,Paris
6509,Nine
6523,Craig Mack
6537,Tha Alkaholiks
6542,D.J. Trans
6567,Fugees
6576,Too $hort
6588,Funkmaster Flex & The Ghetto Celebs
6591,Vicious
6596,The Notorious B.I.G.
6604,Channel Live
6607,Way 2 Real
6616,95 South
6629,Capleton
6661,The Roots
6664,Rottin Razkals
6686,Group Home
6691,Raekwon Feat. Ghost Face Killer
6715,Shaquille O'Neal Feat. Prince Rakeem The RZA & Method Man
6721,E-40 (Featuring Leviti)
6722,Bone Thugs-N-Harmony Featuring Eazy-E
6724,Ol' Dirty Bastard
6727,Mobb Deep
6728,Redman
6756,Keith Murray
6768,2Pac
6777,Scarface Feat. Ice Cube
6789,Slick Rick Featuring Doug E. Fresh
6816,Dr. Dre
6817,Thug Life
6836,Rappin' 4-Tay Feat. The Spinners
6842,DJ Quik
6864,DJ Smurf And P.M.H.I.
6878,Da Brat
6890,Redman
6913,Nine
6920,Naughty By Nature
6939,Dana Dane
6961,DJ Quik
6963,DJ Smurf And P.M.H.I.
6988,Method Man Featuring Mary J. Blige
6999,95 South
7001,Keith Murray
7007,Mobb Deep
7029,Domino
7030,Mobb Deep
7044,Masta Ace Incorporated
7058,E-40 (Featuring Leviti)
7076,Capleton
7080,Scarface
7083,Mobb Deep
7088,Naughty By Nature
7092,Lost Boyz
7095,Mack 10
7106,Scarface
7123,Mobb Deep
7124,Heather B.
7131,Sam Sneed Featuring Dr. Dre
7132,The Notorious B.I.G.
7146,Questionmark Asylum
7169,The Notorious B.I.G.
7178,Heather B.
7202,Domino
7226,Buju Banton
7229,Shaggy
7232,Chef Raekwon
7247,Lost Boyz
7293,Dr. Dre
7298,Big L
7299,Playa Poncho Featuring L.A. Sno
7318,Big L
7322,The Notorious B.I.G.
7328,Coolio Featuring L.V.
7339,Onyx
7362,Onyx
7366,Smooth
7370,Redman/Method Man
7374,Bone Thugs-N-Harmony
7405,Mack 10
7410,Playa Poncho Featuring L.A. Sno
7414,Masta Ace Incorporated
7415,Doug E. Fresh
7429,Lost Boyz
7436,E-40 (Featuring Suga T)
7449,Das EFX
7457,Mack 10
7459,Naughty By Nature
7475,Jamal
7478,2Pac
7485,Super Cat
7486,Mack 10
7520,Goodie Mob
7521,Raekwon
7523,Cypress Hill
7527,Blahzay Blahzay
7536,The Pharcyde
7546,Erick Sermon
7552,Salt-N-Pepa
7565,Genius/GZA
7577,Capleton
7584,Frost
7596,Onyx
7615,The Click
7616,Method Man
7639,LL Cool J
7660,The D.O.C.
7675,Luniz Featuring Teddy
7679,Spice 1 Featuring MC Eiht
7701,Kool G Rap
7708,Junior M.A.F.I.A. Featuring Aaliyah
7714,Kris Kross
7722,Coolio
7726,Bone Thugs-N-Harmony
7750,Genius/GZA Featuring Inspektah Deck
7758,The D.O.C.
7766,Eazy-E
7780,Mystikal
7791,Fugees
7805,Mystikal
7817,Tha Dogg Pound Featuring Michel'le
7824,Cypress Hill
7845,Heltah Skeltah And O.G.C. As The Fab 5
7921,Junior M.A.F.I.A. Featuring Aaliyah
7928,Junior M.A.F.I.A. Featuring The Notorious B.I.G.
7942,Kool G Rap
7952,Das EFX (Featuring Mobb Deep)
7969,Twinz
7983,Erick Sermon
8008,Jamal
8010,The Click
8015,Redman
8016,Coolio
8020,LL Cool J
8023,Busta Rhymes
8034,Rappin' 4-Tay
8037,Goodie Mob
8039,Jamal
8045,MC Lyte Featuring Xscape
8047,Fat Joe
8081,Bahamadia
8083,Tha Dogg Pound Featuring Michel'le
8092,Lost Boyz
8105,Quad City DJ's
8108,The Click
8109,Jamal
8131,Smoothe Da Hustler
8133,LL Cool J
8169,Luke
8182,Redman
8194,Kris Kross
8203,69 Boyz Featuring Quad City DJ's
8222,Geto Boys Featuring Flaj
8226,DJ Kool
8231,Heather B.
8232,Bone Thugs-N-Harmony
8249,Delinquent Habits
8253,Poppa Doo
8267,Crucial Conflict
8302,Ice-T
8324,Coolio
8329,Digital Underground
8343,Sadat X
8346,Heltah Skeltah
8354,Blahzay Blahzay
8356,Do Or Die (Featuring Twista)
8375,2Pac Featuring K-Ci And JoJo
8379,Mad Lion Featuring KRS-ONE And Brenda K. Starr
8396,Nas
8402,Cypress Hill
8405,Domino
8420,Bahamadia
8425,De La Soul
8429,Ruffa Featuring Tasha
8451,Real Live Featuring K-Def & Larry-O
8460,LL Cool J
8464,Busta Rhymes Featuring Zhane
8468,Xzibit
8506,The Roots
8508,OutKast
8525,Rappin' 4-Tay
8540,A+
8568,The 2 Live Crew
8580,Ras Kass
8588,A+
8596,The Roots
8605,Rappin' 4-Tay
8614,Busta Rhymes Featuring Zhane
8616,Xzibit
8628,Ras Kass
8651,Bahamadia
8666,The Roots
8674,Coolio
8711,The 2 Live Crew
8721,Capone -N- Noreaga
8725,Ras Kass
8740,Dru Down
8744,The Roots
8747,Ras Kass
8757,Lost Boyz
8769,Busta Rhymes Featuring Zhane
8776,Da Brat
8791,Too Short Feat. Parliament Funkadelic
8794,Jeru The Damaja
8812,Goodie Mob
8817,M.O.P.
8861,De La Soul
8863,Keith Murray
8870,Nas
8893,Keith Murray
8904,Killafornia Organization
8908,Mobb Deep
8911,Heltah Skeltah
8915,De La Soul
8948,MC Lyte
8950,OutKast
8952,Richie Rich
8960,Xzibit
8980,Camp Lo
8982,The Roots
8984,D.J. Trans
8996,Da Brat
9012,Capone -N- Noreaga
9029,Xzibit
9032,The Roots
9036,Al Tariq (Kool Fash)
9037,Ras Kass
9048,Richie Rich
9052,Freak Nasty
9059,Jay-Z
9070,Do Or Die (Featuring Twista)
9136,Puff Daddy (Featuring Mase)
9167,DJ Kool
9174,Do Or Die (Featuring Twista)
9177,Richie Rich
9192,LL Cool J
9220,"2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch"
9225,Quad City DJ's
